word,key,tone,pos,trans,book,chap,inchap,manualfuri,autofuri,fullfuri,pendingfuri,charfuri,,,,,,,,,,,,,,,,,,,,,
JC企画,,5,PROPER,JC策划公司,Biaori,1,44,special,,JCきかく,ジェーシーきかく,,,J,ジェー,C,シー,企,き,画,かく,,,,,,,,,,,,
北京旅行社,,5,PROPER,北京旅行社,Biaori,1,45,special,,ぺきんりょこうしゃ,ペキンりょこうしゃ,,,北,ペ,京,キン,旅,りょ,行,こう,社,しゃ,,,,,,,,,,
日中商事,,5,PROPER,日中商社,Biaori,1,46,manual,,にっちゅうしょうじ,にっちゅうしょうじ,,,日,にっ,中,ちゅう,商,しょう,事,じ,,,,,,,,,,,,
こんにちは,,5,IDIOM,你好,Biaori,1,47,,auto,こんにちは,こんにちは,,,こ,こ,ん,ん,に,に,ち,ち,は,は,,,,,,,,,,
すみません,,4,IDIOM,对不起；请问,Biaori,1,48,,auto,すみません,すみません,,,す,す,み,み,ま,ま,せ,せ,ん,ん,,,,,,,,,,
どうぞ,,1,IDIOM,请,Biaori,1,49,,auto,どうぞ,どうぞ,,,ど,ど,う,う,ぞ,ぞ,,,,,,,,,,,,,,
よろしくお願いします,,,IDIOM,请多关照,Biaori,1,50,manual,,よろしくおねがいします,よろしくおねがいします,,,よ,よ,ろ,ろ,し,し,く,く,お,お,願,ねが,い,い,し,し,ま,ま,す,す
はじめまして,,4,IDIOM,初次见面,Biaori,1,51,,auto,はじめまして,はじめまして,,,は,は,じ,じ,め,め,ま,ま,し,し,て,て,,,,,,,,
こちらこそ,,4,IDIOM,我才要（请您~）,Biaori,1,52,,auto,こちらこそ,こちらこそ,,,こ,こ,ち,ち,ら,ら,こ,こ,そ,そ,,,,,,,,,,
そうです,,1,IDIOM,是（这样）,Biaori,1,53,,auto,そうです,そうです,,,そ,そ,う,う,で,で,す,す,,,,,,,,,,,,
ちがいます,,4,IDIOM,不是,Biaori,1,54,,auto,ちがいます,ちがいます,,,ち,ち,が,が,い,い,ま,ま,す,す,,,,,,,,,,
分かりません,,5,IDIOM,不知道,Biaori,1,55,manual,,わかりません,わかりません,,,分,わ,か,か,り,り,ま,ま,せ,せ,ん,ん,,,,,,,,
どうもすみません,,1;7,IDIOM,实在对不起,Biaori,1,56,,auto,どうもすみません,どうもすみません,,,ど,ど,う,う,も,も,す,す,み,み,ま,ま,せ,せ,ん,ん,,,,
さん,,,IDIOM,（~桑）,Biaori,1,57,,auto,さん,さん,,,さ,さ,ん,ん,,,,,,,,,,,,,,,,
ちゃん,,,IDIOM,（~酱）,Biaori,1,58,,auto,ちゃん,ちゃん,,,ち,ち,ゃ,ゃ,ん,ん,,,,,,,,,,,,,,
君,,,IDIOM,（~君）,Biaori,1,59,special,ALERT,きみ,くん,,,君,くん,,,,,,,,,,,,,,,,,,
