word,key,trans,hint,kana,romaji,wapuro,pos,tone,textbook
出迎え,出迎え,迎接,出迎,でむかえ,demukae,demukae,"NOUN",0,BIAORI-01-01-0019,,出,で,迎,むか,え,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
あの人,あの人,那个人,,あのひと,anohito,anohito,"NOUN",2,BIAORI-01-01-0020,,あの,人,ひと,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
わたし,わたし,我,,わたし,watashi,watashi,"PRON",0,BIAORI-01-01-0021,,わたし,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
あなた,あなた,你,,あなた,anata,anata,"PRON",2,BIAORI-01-01-0022,,あなた,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
どうも,どうも,非常，很,どうも,どうも,dōmo,doumo,"ADV",1,BIAORI-01-01-0023,,どうも,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
はい,はい,哎，是（应答）；是的,はい,はい,hai,hai,"INTERJ",1,BIAORI-01-01-0024,,はい,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
いいえ,いいえ,不，不是,いいえ,いいえ,īe,iie,"INTERJ",3,BIAORI-01-01-0025,,いいえ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
あっ,あっ,哎，哎呀,あっ,あっ,a,axtsu,"INTERJ",null,BIAORI-01-01-0026,,あっ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
李,李,李,,り,ri,ri,"PROPER",null,BIAORI-01-01-0027,,李,り,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
王,王,王,,おう,ō,ou,"PROPER",1,BIAORI-01-01-0028,,王,おう,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
張,張,张,,ちょう,chō,chou,"PROPER",1,BIAORI-01-01-0029,,張,ちょう,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
森,森,森,,もり,mori,mori,"PROPER",0,BIAORI-01-01-0030,,森,もり,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
林,林,林,,はやし,hayashi,hayashi,"PROPER",0,BIAORI-01-01-0031,,林,はやし,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
小野,小野,小野,,おの,ono,ono,"PROPER",0,BIAORI-01-01-0032,,小,お,野,の,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
吉田,吉田,吉田,,よしだ,yoshida,yoshida,"PROPER",0,BIAORI-01-01-0033,,吉,よし,田,だ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
田中,田中,田中,,たなか,tanaka,tanaka,"PROPER",0,BIAORI-01-01-0034,,田,た,中,なか,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中村,中村,中村,,なかむら,nakamura,nakamura,"PROPER",0,BIAORI-01-01-0035,,中,なか,村,むら,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
太郎,太郎,太郎,,たろう,tarō,tarou,"PROPER",1,BIAORI-01-01-0036,,太,た,郎,ろう,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
金,金,金,,キム,kimu,kimu,"PROPER",1,BIAORI-01-01-0037,,金,キム,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ヂュポン,ヂュポン,迪蓬,,ヂュポン,jupon,juponn,"PROPER",1,BIAORI-01-01-0038,,ヂュポン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
